economy,series,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
BRA,DT.ODA.ODAT.CD,464779998.8,840690002.4,1288520020,1155729980,914150024.4,1003190002,674630004.9,273890014.6,444450012.2,272399993.9,612429992.7
BRA,NY.GDP.PCAP.CD,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,8710.06329,9928.675897,9151.381732,8876.059836,6814.875632
BRA,SE.ADT.LITR.ZS,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,,
BRA,SM.POP.REFG,4346,4466,4681,5185,7478,8703,9674,10260,11304,32844,59092
BRA,SM.POP.REFG.OR,991,1040,1073,982,977,893,803,851,1038,1399,1548
BRA,SP.DYN.LE00.IN,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,75.881,76.084
BRB,DT.ODA.ODAT.CD,15579999.92,,,,,,,,,,
BRB,NY.GDP.PCAP.CD,16056.11685,16459.05805,16250.01233,16452.15271,16488.52573,16558.86478,16909.88655,17404.20747,17782.87473,18480.05659,16318.74811
BRB,SE.ADT.LITR.ZS,,,,,99.59999847,,,,,,
BRB,SM.POP.REFG,,,,,,,,,,,
BRB,SM.POP.REFG.OR,29,42,50,63,82,95,144,172,211,243,230
BRB,SP.DYN.LE00.IN,78.364,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081,79.19,79.308
BRN,DT.ODA.ODAT.CD,,,,,,,,,,,
BRN,NY.GDP.PCAP.CD,35270.64214,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626,31085.96193,27442.95383
BRN,SE.ADT.LITR.ZS,,96.08556366,,,,,,,97.21411133,,
BRN,SM.POP.REFG,,,,,,,,,,,
BRN,SM.POP.REFG.OR,,,,,,,,,,,
BRN,SP.DYN.LE00.IN,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585,75.722,75.86,75.998
BTN,DT.ODA.ODAT.CD,97239997.86,118650001.5,161649993.9,136800003.1,130639999.4,97279998.78,51599998.47,118540000.9,107919998.2,178669998.2,202210006.7
BTN,NY.GDP.PCAP.CD,2258.186435,2563.261224,2538.949519,2472.724753,2652.225654,2752.630172,2930.574923,3286.596744,3243.477437,3322.863329,3000.777986
BTN,SE.ADT.LITR.ZS,,,55.31755829,,,,,66.5611496,,,
BTN,SM.POP.REFG,,,,,,,,,,,
BTN,SM.POP.REFG.OR,75062,57980,41582,31556,23633,17709,11757,7954,7100,6839,6741
BTN,SP.DYN.LE00.IN,68.384,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46,71.777,72.08
BWA,DT.ODA.ODAT.CD,154669998.2,118500000,73000000,107370002.7,99370002.75,65430000.31,90569999.69,102089996.3,85750000,67599998.47,78709999.08
BWA,NY.GDP.PCAP.CD,6434.812485,7617.310041,7050.573472,7224.912737,7495.220866,6402.910183,6982.917492,7296.092142,7503.878588,7247.429476,6348.832318
BWA,SE.ADT.LITR.ZS,,,,86.82318115,,,,,,,
BWA,SM.POP.REFG,2983,3312,2784,2771,2642,2127,2090,2116,2044,1113,617
BWA,SM.POP.REFG.OR,56,88,125,165,234,306,265,279,289,228,191
BWA,SP.DYN.LE00.IN,60.211,61.91,63.511,64.976,66.265,67.338,68.178,68.812,69.275,69.592,69.793
CAF,DT.ODA.ODAT.CD,260980011,268769989,228009994.5,202820007.3,611000000,486730011,506760009.8,511980011,656250000,688729980.5,829979980.5
CAF,NY.GDP.PCAP.CD,488.4217358,551.7497219,565.8012071,380.2979111,424.4491317,377.4229177,402.1916451,450.900697,475.9538139,468.1175148,481.7462966
CAF,SE.ADT.LITR.ZS,36.75260925,,,,,,,,37.39582062,,
CAF,SM.POP.REFG,21568,16737,14015,14323,7692,7332,12117,10033,6652,7170,9083
CAF,SM.POP.REFG.OR,164902,162861,164567,252854,412028,471093,490879,545513,590858,610152,642161
CAF,SP.DYN.LE00.IN,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805,53.283,53.679
CAN,DT.ODA.ODAT.CD,,,,,,,,,,,
CAN,NY.GDP.PCAP.CD,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387
CAN,SE.ADT.LITR.ZS,,,,,,,,,,,
CAN,SM.POP.REFG,165544,164879,163751,160347,149164,135890,97322,104768,114101,101757,109214
CAN,SM.POP.REFG.OR,86,108,121,94,89,73,76,75,81,71,65
CAN,SP.DYN.LE00.IN,81.24634146,81.44878049,81.64878049,81.74878049,81.8,81.9,81.9,81.9,82.04878049,82.04878049,81.74878049
CEB,DT.ODA.ODAT.CD,131550003.1,,,,,,,,,,
CEB,NY.GDP.PCAP.CD,12623.56039,13912.67053,13020.74382,13718.184,14164.07445,12522.66106,12831.40994,14254.7381,16047.2797,16346.56181,16197.29935
CEB,SE.ADT.LITR.ZS,98.91722107,98.93424988,98.94538879,98.95433807,98.96629333,98.9777298,98.99102783,,,,
CEB,SM.POP.REFG,32497,32455,28820,30559,37933,44266,44458,49279,49925,50200,40801
CEB,SM.POP.REFG.OR,78005,73955,72761,58733,48642,41463,34913,33979,33864,33686,33806
CEB,SP.DYN.LE00.IN,75.29396578,75.88847488,75.9934886,76.35516299,76.67562361,76.57187776,76.96981142,76.94744264,76.97682268,77.26684409,76.1441688
CHE,DT.ODA.ODAT.CD,,,,,,,,,,,
CHE,NY.GDP.PCAP.CD,77117.12601,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,87100.41482
CHE,SE.ADT.LITR.ZS,,,,,,,,,,,
CHE,SM.POP.REFG,48813,50401,50733,52448,62596,73326,82668,93030,104011,110162,115798
CHE,SM.POP.REFG.OR,20,20,16,11,16,16,5,5,5,5,5
CHE,SP.DYN.LE00.IN,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098,83.60243902,83.55121951,83.75365854,83.90487805,83.1
CHI,DT.ODA.ODAT.CD,,,,,,,,,,,
CHI,NY.GDP.PCAP.CD,,,,,,,,,,,
CHI,SE.ADT.LITR.ZS,,,,,,,,,,,
CHI,SM.POP.REFG,,,,,,,,,,,
CHI,SM.POP.REFG.OR,,,,,,,,,,,
CHI,SP.DYN.LE00.IN,81.483,81.688,81.883,82.071,82.252,82.429,82.6,82.766,82.928,83.086,83.24
CHL,DT.ODA.ODAT.CD,181910003.7,161199996.9,128070007.3,80559997.56,245580001.8,54330001.83,178440002.4,70309997.56,,,
CHL,NY.GDP.PCAP.CD,12724.10406,14577.63266,15354.6184,15777.78151,14606.99672,13495.01061,13690.90746,14962.55685,15772.33348,14699.46278,13220.57076
CHL,SE.ADT.LITR.ZS,,96.70301056,,96.26705933,,96.87413025,,96.40228271,,,
CHL,SM.POP.REFG,1613,1669,1692,1738,1764,1840,1730,1861,2026,2046,2053
CHL,SM.POP.REFG.OR,1163,1182,1145,588,571,554,495,493,479,486,659
CHL,SP.DYN.LE00.IN,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042,80.181,80.329
CHN,DT.ODA.ODAT.CD,671890014.6,-603609985.4,-181949996.9,-669909973.1,-947650024.4,-306290008.5,-791440002.4,-989940002.4,-705450012.2,-609140014.6,-573609985.4
CHN,NY.GDP.PCAP.CD,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976
CHN,SE.ADT.LITR.ZS,95.1244812,,,,,,,,96.84088898,,
CHN,SM.POP.REFG,300984,301016,301037,301045,301052,301044,317254,321714,321758,303379,303405
CHN,SM.POP.REFG.OR,184601,190369,193449,195121,210793,212911,207768,207716,212039,212863,175361
CHN,SP.DYN.LE00.IN,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.912,77.097
CIV,DT.ODA.ODAT.CD,845309997.6,1436199951,2908139893,1273459961,925039978,651669982.9,615789978,829159973.1,960010009.8,1173640015,1561949951
CIV,NY.GDP.PCAP.CD,1701.475702,1744.938897,1684.781586,1935.946845,2156.645883,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,2325.723705
CIV,SE.ADT.LITR.ZS,,,40.98162842,,43.90842056,,,,,89.89341736,
CIV,SM.POP.REFG,26213,24212,3972,2970,1918,1972,1397,1559,1808,2020,2086
CIV,SM.POP.REFG.OR,41747,154818,100709,85650,71956,71107,46811,40009,38316,39351,37525
CIV,SP.DYN.LE00.IN,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422,57.783,58.104
CMR,DT.ODA.ODAT.CD,540229980.5,612080017.1,597109985.4,751960022,849799987.8,663969970.7,756609985.4,1216839966,1165339966,1297449951,1399810059
CMR,NY.GDP.PCAP.CD,1352.302275,1465.145788,1403.522915,1527.751257,1604.214035,1382.50979,1413.255957,1469.4475,1585.240534,1533.095688,1537.130218
CMR,SE.ADT.LITR.ZS,71.29051208,,,,,,,,77.07103729,,
CMR,SM.POP.REFG,104269,100368,98961,114744,264122,342970,375413,337382,380327,406259,436396
CMR,SM.POP.REFG.OR,14952,15149,13360,11410,10739,10565,10344,11032,45118,66241,78481
CMR,SP.DYN.LE00.IN,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921,59.292,59.626
COD,DT.ODA.ODAT.CD,3483649902,5526459961,2843270020,2584010010,2400020020,2599040039,2102330078,2292639893,2513929932,2809739990,3377360107
COD,NY.GDP.PCAP.CD,334.0215777,387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,565.8295429,596.5605701,543.9503925
COD,SE.ADT.LITR.ZS,,,75.01718903,,,,77.04267883,,,,
COD,SM.POP.REFG,166333,152748,65106,113357,119752,383095,451957,537089,529065,523733,490243
COD,SM.POP.REFG.OR,476691,491470,509275,499551,516765,541487,537474,620805,720302,802974,840392
COD,SP.DYN.LE00.IN,56.909,57.427,57.914,58.381,58.828,59.254,59.655,60.026,60.368,60.681,60.971
